"","product","Freq","CAT"
"479","Hypothetical protein of unknown function (DUF2483)",4,"Unknown/Hypothetical"
"480","HYALURONIDASE PHAGE TAIL",4,"Structural"
"481","HJC II RESTRICTION ENDONUCLEASE, HYDROLASE ACT.58A",4,"Replication_general"
"482","Helix-turn-helix domain of transposase family ISL3",4,"Replication_repairanrecombination"
"483","Helicase, ATPase, REPLICATION",4,"Replication_general"
"484","gp10, gp7, accessory protein, VIRUS.5A",4,"0"
"485","GcrA cell cycle regulator",4,"0"
"486","FOG Glucan-binding domain (YG repeat)",4,"0"
"487","Family of unknown function (DUF5592)",4,"Unknown/Hypothetical"
"488","Excisionase/DNA Complex-DNA COMPLEX, DNA ARCHITECTURAL PROTEIN.9A",4,"Replication_indicationlysogeny"
"489","Eukaryotic protein of unknown function (DUF872)",4,"Unknown/Hypothetical"
"490","Enterobacterial Ail/Lom protein",4,"0"
"491","DUF820",4,"Unknown/Hypothetical"
"492","Domain of unknown function (DUF771)",4,"Unknown/Hypothetical"
"493","Domain of unknown function (DUF5016)",4,"Unknown/Hypothetical"
"494","Domain of unknown function (DUF4870)",4,"Unknown/Hypothetical"
"495","Domain of unknown function",4,"0"
"496","DNA-damage-inducible protein J",4,"0"
"497","Cysteine protease Prp",4,"0"
"498","Chromosomal replication initiator protein dnaA-turn-Helix motif, Interacting with DnaA-box.0A",4,"Replication_general"
"499","ChiA1_BD",4,"0"
"500","CHAP domain",4,"0"
"501","Cell wall-associated hydrolases (invasion-associated proteins)",4,"0"
"502","CAPSID PROTEIN",4,"Structural"
"503","BPP, Llama nanobody 11 beta, jelly roll motif.4A",4,"Structural"
"504","Blasticidin M, hydrolase, Deaminase, biosynthesis",4,"0"
"505","Baseplate wedge protein gp6, Baseplate, baseplate-tail tube complex, pre-attachment.11A",4,"Structural"
"506","Bacteriophage related domain of unknown function",4,"0"
"507","Bacteriophage P21 holin S",4,"Entry_Escape"
"508","Bacteriophage A118-like holin, Hol118",4,"Entry_Escape"
"509","Bacterial PH domain",4,"Other"
"510","BACON",4,"Entry_Escape"
"511","Antitoxin RelB, Ribbon-Helix-Helix, antitoxin, Repressor, Stress",4,"Other_toxin"
"512","3' exoribonuclease, RNase T-like",4,"Replication_general"
"513","-ISL3 zinc-finger of transposase IS204/IS1001/IS1096/IS1165",4,"Replication_repairanrecombination"
"514","-H2C2_2 Zinc-finger double domain",4,"0"
"515","-gp10_like Bacteriophage HK97-gp10, putative tail-component",4,"Structural"
"516","YtxH-like protein",3,"Unknown/Hypothetical"
"517","YolD-like protein",3,"0"
"518","Virion structural protein",3,"Structural"
"519","Uncharacterized conserved protein (DUF2190)",3,"Unknown/Hypothetical"
"520","Type II secretion system (T2SS), protein M",3,"0"
"521","trimeric autotransporter adhesin YadA",3,"0"
"522","translesion error-prone DNA polymerase V autoproteolytic subunit",3,"Replication_general"
"523","Transcription factor WhiB",3,"Replication_general"
"524","Tor inhibition protein helix, reverse turn, PROTEIN",3,"Other"
"525","Thymopoietin protein",3,"0"
"526","Thymidylate synthase",3,"NucleotideMetabolism"
"527","TFIIB zinc-binding",3,"0"
"528","terminase, large subunit",3,"Assembly"
"529","Terminase",3,"Assembly"
"530","TerD domain",3,"0"
"531","Tail tube",3,"Structural"
"532","tail fibre protein",3,"Structural"
"533","tail assembly chaperone",3,"Assembly"
"534","stage V sporulation protein T",3,"0"
"535","stabilisation protein",3,"Assembly"
"536","SOS regulatory protein LexA",3,"Transcription_regulation_indicationlysogeny"
"537","Small acid-soluble spore protein H family",3,"0"
"538","SECRETED 45 KDA PROTEIN CYCLE, PEPTIDOGLYCAN, CHAP, CELL PG4.55A",3,"0"
"539","SCIMP protein",3,"0"
"540","S24_LexA-like",3,"Transcription_regulation_indicationlysogeny"
"541","RT_Bac_retron_I",3,"0"
"542","RPAP1-like, N-terminal",3,"0"
"543","RNA polymerase inhibitor",3,"Replication_general"
"544","restriction enzyme",3,"0"
"545","Repressor protein C2/DNA Complex-DNA complex, Helix-turn-helix, DNA-binding, Repressor.53A",3,"Transcription_regulation_indicationlysogeny"
"546","Replication protein B",3,"Replication_general"
"547","Recombination, repair and ssDNA binding protein UvsY",3,"Replication_repairanrecombination"
"548","Pvc1, Pvc9, Pvc11, Pvc12, Pvc4, Photorhabdus asymbiotica, PVC, contractile.5A",3,"Other"
"549","Putative structural protein",3,"Structural"
"550","Putative peptidyl-prolyl cis-trans isomerase HP_0175 PPIase TLR4-agonist, ISOMERASE.09A",3,"0"
"551","Putative modification methylase",3,"Take-over"
"552","Putative excisionase (DUF1233)",3,"Replication_indicationlysogeny"
"553","Putative binding domain, N-terminal",3,"Entry_Escape"
"554","putative baseplate assembly protein",3,"Assembly"
"555","Putative amidoligase enzyme",3,"Replication_general"
"556","Pulmonary surfactant-associated protein D recombinant collectin fragment, neck+CRD GMH, K5B, GLC.65A",3,"Structural"
"557","Protein recA",3,"Replication_repairanrecombination_indicationlysogeny"
"558","Protein of unknown function, DUF488",3,"Unknown/Hypothetical"
"559","Protein of unknown function (DUF658)",3,"Unknown/Hypothetical"
"560","Protein of unknown function (DUF3906)",3,"Unknown/Hypothetical"
"561","Protein of unknown function (DUF3789)",3,"Unknown/Hypothetical"
"562","Protein of unknown function (DUF2786)",3,"Unknown/Hypothetical"
"563","Protein of unknown function (DUF2717)",3,"Unknown/Hypothetical"
"564","Protein of unknown function (DUF2681)",3,"Unknown/Hypothetical"
"565","Protein of unknown function (DUF2644)",3,"Unknown/Hypothetical"
"566","Protein of unknown function (DUF1580)",3,"Unknown/Hypothetical"
"567","Protein of unknown function (DUF1566)",3,"Unknown/Hypothetical"
"568","Protein of unknown function (DUF1364)",3,"Unknown/Hypothetical"
"569","Protein of unknown function (DUF1320)",3,"Unknown/Hypothetical"
"570","Protein of unknown function (DUF1270)",3,"Unknown/Hypothetical"
"571","Prokaryotic membrane lipoprotein lipid attachment site",3,"0"
"572","Probable metal-binding protein (DUF2387)",3,"Unknown/Hypothetical"
"573","Probable DNA double strand break repair",3,"Replication_repairanrecombination"
"574","Preprotein translocase subunit SecE, Preprotein, archaeal, ribosomal, 50S, protein.0A",3,"Other"
"575","Predicted periplasmic lipoprotein (DUF2279)",3,"Unknown/Hypothetical"
"576","Predicted internal virion protein B",3,"Entry_Escape"
"577","PKD",3,"Other"
"578","phosphoenolpyruvate carboxykinase",3,"Other"
"579","Phage_r1t_holin",3,"Entry_Escape"
"580","phage virion morphogenesis protein",3,"0"
"581","Phage terminase, small subunit",3,"Assembly"
"582","Phage tail protein (Tail_P2_I)",3,"Structural"
"583","Phage tail morphogenesis protein",3,"Structural"
"584","Phage related hypothetical protein (DUF1799)",3,"Unknown/Hypothetical"
"585","Phage protein Gp19/Gp15/Gp42",3,"Unknown/Hypothetical"
"586","Phage Mu protein F like protein",3,"Assembly"
"587","Phage minor capsid protein 2",3,"Structural"
"588","Peptidase M14",3,"Entry_Escape"
"589","PEPA1, TOXIN APOPTOTIC PEPTIDE, APOPTOSIS",3,"Other_toxin"
"590","P22 C2 REPRESSOR (AMINO-TERMINAL DNA-BINDING REGULATION",3,"Transcription_regulation_indicationlysogeny"
"591","P1 lysozyme",3,"Entry_Escape"
"592","Outer membrane protein assembly factor.coli, Bacterial outer membrane beta.9A",3,"Assembly"
"593","ORF6N domain",3,"0"
"594","ORF48, ORF46, BPP tail protein, Receptor-binding protein.8A",3,"Structural"
"595","NTP-PPase_u5",3,"Other"
"596","Neck appendage protein",3,"Structural"
"597","N-deoxyribosyltransferase",3,"0"
"598","Muramidase (flagellum-specific)",3,"Entry_Escape"
"599","MqsA MqsA for MqsR toxin",3,"Other_toxin"
"600","MPP_AQ1575",3,"0"
"601","Mn_catalase_like",3,"Other"
"602","Minor structural protein 4",3,"Structural"
"603","MerR HTH family regulatory protein",3,"Transcription_regulation"
"604","major tropism determinant.Length=381",3,"0"
"605","Lysis protein",3,"Entry_Escape"
"606","LT_TF-like",3,"0"
"607","L-Ala-D-Glu_peptidase_like",3,"Entry_Escape"
"608","L SHAPED TAIL FIBER PROTEIN",3,"Structural"
"609","KTSC domain",3,"Other"
"610","KilA-N domain",3,"Take-over"
"611","intron associated endonuclease",3,"Replication_general"
"612","Immunity protein 59",3,"0"
"613","Immunity protein 58",3,"0"
"614","hypothetical protein family UPF0547",3,"Unknown/Hypothetical"
"615","Hydrogenase/urease nickel incorporation, metallochaperone, hypA",3,"0"
"616","Host cell surface-exposed lipoprotein",3,"0"
"617","Histone H3.2, Histone H4, Histone, Chromatin, Nucleosome, DNA, SNF2h ADP",3,"0"
"618","HicB_like antitoxin of bacterial toxin-antitoxin system",3,"Other_toxin"
"619","HEMOGLOBIN (DOMAIN ONE) STORAGE HEM.15A",3,"0"
"620","Helicase REPLICATION",3,"Replication_general"
"621","Heat shock factor-binding protein 1 helix, Nucleus, TRANSCRIPTION.8A",3,"Replication_general"
"622","Head to tail joining protein",3,"Structural"
"623","head tail adaptor",3,"Structural"
"624","HEAD DECORATION PROTEIN",3,"Structural"
"625","Halobacterial output domain 2",3,"0"
"626","gpW",3,"0"
"627","Geopilin domain 1 protein, PilA, bacterial nanowire, type",3,"0"
"628","FeoB-associated Cys-rich membrane protein",3,"0"
"629","Family of unknown function (DUF5406)",3,"Unknown/Hypothetical"
"630","Envelope protein",3,"0"
"631","endonuclease",3,"Replication_general"
"632","Endolytic peptidoglycan transglycosylase RlpA",3,"Entry_Escape"
"633","dUTP diphosphatase",3,"NucleotideMetabolism"
"634","Domain of Unknown Function (DUF902)",3,"Unknown/Hypothetical"
"635","Domain of unknown function (DUF5053)",3,"Unknown/Hypothetical"
"636","Domain of unknown function (DUF4752)",3,"Unknown/Hypothetical"
"637","Domain of unknown function (DUF4747)",3,"Unknown/Hypothetical"
"638","Domain of unknown function (DUF4417)",3,"Unknown/Hypothetical"
"639","Domain of unknown function (DUF4338)",3,"Unknown/Hypothetical"
"640","Domain of unknown function (DUF4224)",3,"Unknown/Hypothetical"
"641","Domain of unknown function (DUF3850)",3,"Unknown/Hypothetical"
"642","Domain of Unknown Function (DUF349)",3,"Unknown/Hypothetical"
"643","Domain of unknown function (DUF3333)",3,"Unknown/Hypothetical"
"644","Domain of unknown function (DUF3330)",3,"Unknown/Hypothetical"
"645","Domain of unknown function (DUF1834)",3,"Unknown/Hypothetical"
"646","Domain of Unknown Function (DUF1540)",3,"Unknown/Hypothetical"
"647","DNA-directed RNA polymerase subunit alpha elongation, RNA polymerase, NusG.0A",3,"Replication_general"
"648","DNA-binding transcriptional regulator Cro",3,"Transcription_regulation"
"649","DNA-binding protein reb1/DNA Complex-DNA complex, transcription termination, replication.7A",3,"Replication_general"
"650","DNA-binding ferritin-like protein (oxidative damage protectant)",3,"0"
"651","DNA TRANSLOCASE FTSK",3,"0"
"652","DNA repair protein RAD52 homolog annealing protein, ssDNA binding.405A",3,"Replication_repairanrecombination"
"653","DNA polymerase phi",3,"Replication_general"
"654","DNA polymerase III, alpha subunit",3,"Replication_general"
"655","DNA polymerase II, small subunit",3,"Replication_general"
"656","DNA pilot protein",3,"0"
"657","DNA packaging protein gp3",3,"Assembly"
"658","DNA N-6-adenine-methyltransferase (Dam)",3,"Take-over"
"659","DNA circularisation protein N-terminus",3,"0"
"660","DNA binding protein HU alpha",3,"Replication_general"
"661","DNA binding domain, excisionase family",3,"Replication_indicationlysogeny"
"662","DksA-like zinc finger domain containing protein.Length=72",3,"0"
"663","diversity-generating retroelement protein Avd",3,"0"
"664","DinI-like family",3,"0"
"665","DHFR",3,"0"
"666","deoxyribosyltransferasease, enzymatic synthesis, oligomeric assembly TRS.66A",3,"Assembly"
"667","Crystal structure of a Pfam Genomics, Joint Center for GOL, MSE, SO4.15A",3,"0"
"668","Collagen alpha-1(I) chain, Collagen alpha-2(I), IN SITU, Molecular envelope HYP, LYZ.16A",3,"0"
"669","Clan CA, family C40, NlpC/P60, peptidase, NlpC protein, HYDROLASE MSE.547A",3,"Entry_Escape"
"670","Capsid Stabilizing Protein, Major Capsid Capsid Protein, Capsid Stabilizing.6A",3,"Structural"
"671","Capsid Stabilizing Protein",3,"Structural"
"672","Capsid protein",3,"Structural"
"673","capsid assembly protein",3,"Assembly"
"674","BRO family, N-terminal domain",3,"0"
"675","BppU N-terminal domain",3,"Structural"
"676","beta_clamp",3,"0"
"677","Baseplate upper protein immunoglobulin like domain",3,"Structural"
"678","Baseplate structural protein",3,"Structural"
"679","Baseplate protein, Receptor binding protein phage p2, lactococcal phage.35A",3,"Entry_Escape"
"680","Baseplate component",3,"Structural"
"681","Bacteriophage Rz lysis protein",3,"Entry_Escape"
"682","Bacteriophage holin family",3,"Entry_Escape"
"683","Bacterial protein of unknown function (DUF948)",3,"Unknown/Hypothetical"
"684","ATP-dependent Clp protease ATP-binding subunit cleft zinc finger, METAL PG4.5A",3,"Assembly"
"685","ATP dependent DNA helicase dda",3,"Replication_general"
"686","Antitoxin component of bacterial toxin-antitoxin system, MqsA",3,"Other_toxin"
"687","AntA/AntB antirepressor",3,"Transcription_regulation_indicationlysogeny"
"688","anaerobic ribonucleoside-triphosphate reductase activating protein",3,"0"
"689","Alginate and motility regulator Z/DNA-DNA Complex, Ribbon-Helix-Helix, Transcription Factor.1A",3,"Replication_general"
"690","Adenosylhomocysteinase",3,"0"
"691","Active helicase ring shaped helicase, REPLICATION MSE, ANP.895A",3,"Replication_general"
"692","AAA domain",3,"Assembly"
"693","50S RIBOSOMAL SUBUNIT ASSEMBLY, RNA-RNA, PROTEIN-RNA, PROTEIN-PROTEIN NA, CL, MG.4A",3,"Assembly"
"694","3D_containing_proteins",3,"0"
"695","-3 Foot protein 3",3,"0"
"696","-2 ATP-binding sugar transporter from pro-phage",3,"0"
"697","Zn-ribbon-terminal zinc ribbon domain of RNA polymerase intrinsic transcript cleavage subunit",2,"Replication_general"
"698","zinc-ribbon",2,"Replication_general"
"699","YvrJ protein family",2,"0"
"700","XRE-family like protein-turn-helix DNA binding protein MSE, BTB.85A",2,"Replication_general"
"701","Virulence protein RhuM family",2,"0"
"702","Viral dsDNA helicase",2,"Replication_general"
"703","Vesicle-associated membrane protein 2, VAMP2, DPC micelle, SNARE",2,"0"
"704","uncharacterized phage protein (possible DNA packaging)",2,"Assembly"
"705","UBA_ACK1 domain found in activated Cdc42 kinase 1 (ACK1) and similar proteins",2,"0"
"706","Type VI secretion system VasI, EvfG, VC_A0118",2,"0"
"707","Type I site-specific restriction-modification system, restriction enzyme hsdR, ATP-binding.3A",2,"Take-over"
"708","Tumor necrosis factor receptor superfamily, complex, MEMBRANE PROTEIN 9F6",2,"0"
"709","Transposase, Mutator family",2,"Replication_repairanrecombination"
"710","Transposase zinc-ribbon domain",2,"Replication_repairanrecombination"
"711","Transposase DDE domain group 1 protein",2,"Replication_repairanrecombination"
"712","Transmembrane Fragile-X-F protein",2,"0"
"713","translesion error-prone DNA polymerase V subunit UmuC",2,"Replication_general"
"714","transcriptional repressor DicA; Reviewed.Length=135",2,"Transcription_regulation_indicationlysogeny"
"715","Transcriptional regulator, RHH-like, CopG",2,"Transcription_regulation"
"716","Transcriptional regulator, MarR/EmrR family, emrR, transcriptional regulator, DNA-binding GOL.1A",2,"Transcription_regulation"
"717","Transcriptional regulator, LacI family regulator, cellulase gene regulator CBI, GOL.631A",2,"Transcription_regulation"
"718","Transcriptional regulator, GntR family FACTOR, TRANSCRIPTION, METAL-BINDING, Structural.647A",2,"Transcription_regulation"
"719","Transcription factor S-II (TFIIS)",2,"Replication_general"
"720","Transcription factor HY5 leucine zipper, TRANSCRIPTION.0A",2,"Replication_general"
"721","TniQ",2,"Replication_repairanrecombination"
"722","Thymidylate synthase complementing protein",2,"NucleotideMetabolism"
"723","Thermonuclease",2,"Replication_general"
"724","TERMINASE SMALL SUBUNIT BINDING DOMAIN, HOMODIMER, VIRAL",2,"Assembly"
"725","Tas1, PA14_01140 VI secretion, bacterial warfare MSE, ACT.17A",2,"Other"
"726","tail protein; Provisional.Length=351",2,"Structural"
"727","tail length tape measure protein",2,"Structural"
"728","TAIL FIBRE",2,"Structural"
"729","tail component protein",2,"Structural"
"730","tail baseplate attachment protein",2,"Structural"
"731","SOS response-associated peptidase YedK/DNA Complex-protein crosslink, abasic site, thiazolidine PDI, BTB.594A",2,"Entry_Escape"
"732","Smr domain",2,"0"
"733","SMODS and SLOG-associating 2TM effector domain family 4",2,"0"
"734","SIR2-like",2,"Transcription_regulation"
"735","single-stranded-DNA-specific exonuclease RecJ",2,"Replication_general"
"736","Single strand DNA binding protein",2,"Replication_general"
"737","Sigma70_r4, region (SR) 4 refers to the most C-terminal of four conserved domains found in Escherichia coli (Ec) sigma70, the main housekeeping sigma, and related sigma-factors (SFs)",2,"0"
"738","SGNH_hydrolase",2,"Other"
"739","Selenoprotein S (SelS)",2,"Other"
"740","RuvC",2,"0"
"741","rubredoxin_like iron binding domain containing a",2,"0"
"742","RuBisCO_small_like bisphosphate carboxylase/oxygenase (Rubisco), small subunit and related proteins",2,"0"
"743","RNR_II_monomer",2,"0"
"744","RNA polymerases M/15 Kd subunit",2,"Replication_general"
"745","RNA polymerase sporulation sigma factor SigG",2,"Transcription_regulation"
"746","RNA polymerase sigma factor, sigma-70 family",2,"Transcription_regulation"
"747","RNA POLYMERASE SIGMA FACTOR CNRH, ECF-TYPE SIGMA, ANTISIGMA SO4.75A",2,"Transcription_regulation"
"748","RMtype1_S_BliBORF2384P-TRD1-CR1_like",2,"0"
"749","Rio2, N-terminal",2,"0"
"750","RimK-related lysine biosynthesis protein, Probable-dependent amine/thiol ligase family Amino-group PO4, UN1, ADP, SO4.18A",2,"Entry_Escape"
"751","Rifin",2,"0"
"752","Ricin-type beta-trefoil lectin domain-like",2,"0"
"753","reticulocyte binding/rhoptry protein",2,"0"
"754","Resuscitation promoting factor Interacting Protein wall, peptidoglycan, tuberculosis, HYDROLASE.0A",2,"0"
"755","restriction endonuclease PacI restriction endonuclease, beta-beta-alpha-metal active SO4.92A",2,"Replication_general"
"756","Repressor, DNA BINDING PROTEIN.98A",2,"Transcription_regulation_indicationlysogeny"
"757","Replicative helicase DnaG Primase",2,"Replication_general"
"758","Replication-relaxation",2,"Replication_general"
"759","Replication initiator protein A",2,"Replication_general"
"760","Region found in RelA / SpoT proteins",2,"0"
"761","Recombination enhancement function protein nuclease, DNase, HYDROLASE.4A",2,"Replication_general"
"762","Receptor recognition protein, Long tail, Helical sandwich, Tail fiber MRD, MPD, IMD.70355818561A",2,"Structural"
"763","Receptor Binding Protein sandwich domain, phage receptor NDG, NAG.1A",2,"Entry_Escape"
"764","radical SAM peptide maturase, CXXX-repeat target family",2,"0"
"765","PVL ORF-50-like family",2,"Unknown/Hypothetical"
"766","putative transposase ISC1217",2,"Replication_repairanrecombination"
"767","PUTATIVE RECEPTOR BINDING PROTEIN",2,"Entry_Escape"
"768","Putative quorum-sensing-regulated virulence factor",2,"0"
"769","Putative periplasmic protein NMR, StR106, Structural Genomics",2,"0"
"770","Putative membrane protein insertion efficiency factor",2,"0"
"771","Putative Holin-like Toxin (Hol-Tox)",2,"Other_toxin"
"772","Putative extracellular protein hydrolase, extracellular, invasion related.6A",2,"0"
"773","Putative cytoplasmic protein-zinc binding protein, Structural Genomics ZN",2,"0"
"774","Putative cell wall binding repeat",2,"0"
"775","Putative bacterial toxin ydaT",2,"Other_toxin"
"776","PspA/IM30 family",2,"0"
"777","PRP8 protein, intein, cryptococcus neoformans, HYDROLASE.749A",2,"0"
"778","Protein of unknown function DUF262",2,"Unknown/Hypothetical"
"779","Protein of unknown function (DUF5131)",2,"Unknown/Hypothetical"
"780","Protein of unknown function (DUF436)",2,"Unknown/Hypothetical"
"781","Protein of unknown function (DUF4231)",2,"Unknown/Hypothetical"
"782","Protein of unknown function (DUF4014)",2,"Unknown/Hypothetical"
"783","Protein of unknown function (DUF3467)",2,"Unknown/Hypothetical"
"784","Protein of unknown function (DUF3450)",2,"Unknown/Hypothetical"
"785","Protein of unknown function (DUF3290)",2,"Unknown/Hypothetical"
"786","Protein of unknown function (DUF3255)",2,"Unknown/Hypothetical"
"787","Protein of unknown function (DUF3139)",2,"Unknown/Hypothetical"
"788","Protein of unknown function (DUF3037)",2,"Unknown/Hypothetical"
"789","Protein of unknown function (DUF2802)",2,"Unknown/Hypothetical"
"790","Protein of unknown function (DUF2767)",2,"Unknown/Hypothetical"
"791","Protein of unknown function (DUF2752)",2,"Unknown/Hypothetical"
"792","Protein of unknown function (DUF2586)",2,"Unknown/Hypothetical"
"793","Protein of unknown function (DUF2528)",2,"Unknown/Hypothetical"
"794","Protein of unknown function (DUF2511)",2,"Unknown/Hypothetical"
"795","Protein of unknown function (DUF2500)",2,"Unknown/Hypothetical"
"796","Protein of unknown function (DUF1627)",2,"Unknown/Hypothetical"
"797","Protein of unknown function (DUF1588)",2,"Unknown/Hypothetical"
"798","Protein of unknown function (DUF1515)",2,"Unknown/Hypothetical"
"799","Protein of unknown function (DUF1317)",2,"Unknown/Hypothetical"
"800","Protein involved in gliding motility 9 Secretion System Type.5A",2,"0"
"801","Protein involved in formate dehydrogenase formation",2,"0"
"802","PROTEIN genomics, Unknown function, PSI.39A",2,"0"
"803","Proteasome subunit alpha type-2",2,"0"
"804","Prophage antirepressor",2,"Transcription_regulation_indicationlysogeny"
"805","Probable endoribonuclease MazF7",2,"Replication_general"
"806","Predicted Fe-S-cluster redox enzyme",2,"0"
"807","PR-1 protein fever, LIPID BINDING PROTEIN SO4, MSE.8A",2,"0"
"808","Poxvirus virion envelope protein A14",2,"0"
"809","Positive regulator of sigma(E), RseC/MucC",2,"0"
"810","Poly-gamma-glutamate hydrolase",2,"Other"
"811","Picornaviridae P3A protein",2,"0"
"812","Phycobilisome linker polypeptide, PSI, Structural Genomics, Protein",2,"0"
"813","Photosystem II repair protein PSB27-H1 protein, PHOTOSYNTHESIS.85A",2,"Replication_repairanrecombination"
"814","PhoH-like protein",2,"0"
"815","phage/plasmid-like protein TIGR03299",2,"0"
"816","phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease4",2,"Replication_general"
"817","Phage-associated cell wall hydrolase, d-alanyl-l-alanine endopeptidase, CHAP domain GOL.971A",2,"Entry_Escape"
"818","Phage uncharacterised protein (Phage_XkdX)",2,"0"
"819","phage tail protein",2,"Structural"
"820","Phage tail fibre repeat",2,"Structural"
"821","Phage tail assembly chaperone proteins, TAC",2,"Assembly"
"822","Phage minor tail protein U",2,"Structural"
"823","phage major tail protein, phi13 family",2,"Structural"
"824","phage holin, lambda family",2,"Entry_Escape"
"825","Phage baseplate protein Puncturing Device, Trimer, beta-helix SO4, PGE, CL, EDO.2A",2,"Structural"
"826","phage baseplate component",2,"Structural"
"827","Pentapeptide repeats (8 copies)",2,"Structural"
"828","ParM_like",2,"0"
"829","P22_AR protein",2,"Transcription_regulation_indicationlysogeny"
"830","ORF48 beta protein, immunoglobulin fold.3A",2,"0"
"831","ORF12 phage p2, ORF12, VIRAL.9A",2,"0"
"832","ORF OMEGA-BINDING-REGULATORY PROTEIN COMPLEX, RIBBON-HELIX-HELIX, RHH.45A",2,"0"
"833","Orexin-A, Orexin, GPCR, Orphan G-protein PCA, NH2",2,"0"
"834","NUMOD1 domain",2,"0"
"835","Nudix N-terminal",2,"0"
"836","Nucleoside deoxyribosyltransferase",2,"0"
"837","NTP-PPase_u4",2,"Other"
"838","N-acetyltransferase, DUF1778 domain-containing protein, Antitoxin, Acetyltransferas ACO.302A",2,"Other_toxin"
"839","Mycobacterium membrane protein",2,"0"
"840","multiple antibiotic resistance protein MarR/DNA family protein, HTH motif.67A",2,"Other"
"841","Mu-like prophage protein gp36",2,"0"
"842","Mu-like prophage protein Com",2,"0"
"843","MPP_GpdQ",2,"0"
"844","MIT_C found C-terminal to MIT (contained within Microtubule Interacting and Trafficking molecules) domains, as well as in some bacterial proteins",2,"0"
"845","Minor_capsid_3; Minor capsid protein from bacteriophage",2,"Structural"
"846","Minor tail protein U",2,"Structural"
"847","Minor tail protein T",2,"Structural"
"848","Methyltransferase small domain N-terminal",2,"Take-over"
"849","Membrane MotB of proton-channel complex MotA/MotB",2,"0"
"850","Mediator of RNA polymerase II-helix bundle, transcription, nucleus MSE.05A",2,"Replication_general"
"851","MarR family transcriptional regulator, transcription factor, TRANSCRIPTION REGULATOR.05A",2,"Transcription_regulation"
"852","major capsid subunit gpT",2,"Structural"
"853","MAJOR CAPSID PROTEIN, MARINE VIRUS, OUTER CAPSID.7A",2,"Structural"
"854","MAEBL; Provisional.Length=2084",2,"0"
"855","LysW biosynthesis protein LysW",2,"0"
"856","Lipoprotein, lipoprotein, PccL, virulence, transport GOL.1A",2,"Other"
"857","leucine-rich repeats, antagonist of mitotic exit network protein 1-like subfamily",2,"0"
"858","Lethal factor",2,"0"
"859","LEM_like",2,"0"
"860","Large polyvalent protein associated domain 38",2,"0"
"861","Lactose operon repressor/DNA Complex repressor, allosteric effectors, gene 145.5A",2,"Transcription_regulation_indicationlysogeny"
"862","Lactococcus phage single-stranded DNA binding protein",2,"Replication_general"
"863","Lactococcus phage M3 protein",2,"0"
"864","Intron-binding protein aquarius N-terminus",2,"0"
"865","internal virion protein D.Length=1315",2,"Entry_Escape"
"866","Integral membrane protein (DUF2244)",2,"Unknown/Hypothetical"
"867","Inhibitor of sigma-G Gin",2,"0"
"868","hypothetical protein, Putative lipoprotein hydrolase, Hydrolase, PFL_3036.4362A",2,"Unknown/Hypothetical"
"869","hypothetical protein conserved in bacteria (DUF2187)",2,"Unknown/Hypothetical"
"870","HTH-type transcriptional regulator SinR formation, TRANSCRIPTION",2,"Transcription_regulation"
"871","Host-nuclease inhibitor protein Gam",2,"Replication_general"
"872","HMG (high mobility group) box 5",2,"0"
"873","Histone chaperone Rtt106 N-terminal domain",2,"0"
"874","Helix-turn-helix of insertion element transposase",2,"Replication_repairanrecombination"
"875","Helix-turn-helix",2,"Transcription_regulation"
"876","head tail joining protein",2,"Structural"
"877","Head Tail Attachment",2,"Structural"
"878","HD domain-containing protein YGL101W domain, Zn, Saccharomyces cerevisiae MSE.61A",2,"0"
"879","Guanosine polyphosphate pyrophosphohydrolases/synthetases",2,"0"
"880","group II intron reverse transcriptase/maturase",2,"0"
"881","GRB2-binding adapter (GAPT)",2,"0"
"882","gp58-like protein",2,"0"
"883","gp32+ binding subdomain, 5-stranded beta-sheet.0A",2,"Replication_general"
"884","Gp15 protein, homotrimeric, receptor binding protein 1PE, ACT.7A",2,"Entry_Escape"
"885","Glycophorin A",2,"0"
"886","Glycine rich protein family",2,"0"
"887","Glutathione synthetase-like effector 22 (Gpa-GSS22-apo)-parasitic nematode, Effector, Glutathione synthetase-like.18A",2,"0"
"888","GIY-YIG_AtGrxS16-YIG domain found in CAXIP1-like proteins",2,"0"
"889","Gene product J, VIRAL PROTEIN GOL.103A",2,"0"
"890","Geminivirus putative movement protein",2,"0"
"891","GDSL-like Lipase/Acylhydrolase family",2,"0"
"892","GDSL like Lipase Acylhydrolase",2,"0"
"893","Flagellin, PadR, transcription factor, DNA.8A",2,"Replication_general"
"894","Flagellar assembly protein T, C-terminal domain",2,"Assembly"
"895","Family of unknown function (DUF5420)",2,"Unknown/Hypothetical"
"896","Family of unknown function (DUF5351)",2,"Unknown/Hypothetical"
"897","Family of unknown function (DUF5338)",2,"Unknown/Hypothetical"
"898","Family of unknown function (DUF5331)",2,"Unknown/Hypothetical"
"899","FAD-dependent thymidylate synthase; Reviewed.Length=217",2,"NucleotideMetabolism"
"900","Excisionase BETA-SHEET, WINGED-HELIX, CIS-TRANS-TRANS TRIPROLINE",2,"Replication_indicationlysogeny"
"901","Excalibur calcium-binding domain",2,"0"
"902","Ethylene-responsive transcription factor ERF096/DNA Complex-DNA complex, DNA BINDING PROTEIN-DNA.76A",2,"Replication_general"
