"","superkingdom","family","genus","species","kingdom","VC","EukVirBin_noanello","EukVirBin","PhageBin","ContigBin","VC_Genus","Host","Host_specific","OTU","infection"
"NODE_127_length_2355_cov_4_348551_S009-244","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_127_length_2355_cov_4_348551_S009-244","0"
"NODE_127_length_2440_cov_8_461278_S007-99","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_127_length_2440_cov_8_461278_S007-99","0"
"NODE_127_length_2708_cov_334_318890_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID44",NA,"NOTSURE_ClusterID2050",NA,"Vertebrates","Vertebrates","NODE_127_length_2708_cov_334_318890_S004-194","0"
"NODE_127_length_2952_cov_998_988522_S007-54","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID45",NA,"SURE_ClusterID2051",NA,"Vertebrates","Vertebrates","NODE_127_length_2952_cov_998_988522_S007-54","Anelloviridae sp."
"NODE_128_length_2463_cov_43_478625_S004-178","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus 10","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_128_length_2463_cov_43_478625_S004-178","Torque teno mini virus 10"
"NODE_128_length_2522_cov_36_937423_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID46",NA,"NOTSURE_ClusterID2081",NA,"Vertebrates","Vertebrates","NODE_128_length_2522_cov_36_937423_S009-182","0"
"NODE_128_length_2760_cov_265_507641_S004-116","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"NOTSURE_ClusterID1290",NA,"Vertebrates","Vertebrates","NODE_128_length_2760_cov_265_507641_S004-116","0"
"NODE_1288_length_1243_cov_4_330189_S003-101","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1288_length_1243_cov_4_330189_S003-101","0"
"NODE_129_length_2379_cov_7_692007_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_129_length_2379_cov_7_692007_S003-142","0"
"NODE_129_length_2519_cov_21_729730_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID47",NA,"SURE_ClusterID2117",NA,"Vertebrates","Vertebrates","NODE_129_length_2519_cov_21_729730_S009-182","0"
"NODE_129_length_2643_cov_8_681606_S011-28","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_129_length_2643_cov_8_681606_S011-28","Anelloviridae sp."
"NODE_1291_length_824_cov_6_698795_S004-178","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1291_length_824_cov_6_698795_S004-178","0"
"NODE_1306_length_2967_cov_168_507266_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1306_length_2967_cov_168_507266_S010-136","0"
"NODE_131_length_2748_cov_58_709098_S004-153","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID24",NA,"NOTSURE_ClusterID69",NA,"Vertebrates","Vertebrates","NODE_131_length_2748_cov_58_709098_S004-153","TTV-like mini virus"
"NODE_1316_length_1418_cov_10_501119_S003-133","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1316_length_1418_cov_10_501119_S003-133","TTV-like mini virus"
"NODE_132_length_1629_cov_5_123711_S009-191","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_132_length_1629_cov_5_123711_S009-191","0"
"NODE_132_length_2624_cov_69_309776_S004-194","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_132_length_2624_cov_69_309776_S004-194","0"
"NODE_132_length_3117_cov_64_893750_S007-71","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID48",NA,"Singleton_ClusterID2253",NA,"Vertebrates","Vertebrates","NODE_132_length_3117_cov_64_893750_S007-71","0"
"NODE_1321_length_2956_cov_127_490795_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID49",NA,"Singleton_ClusterID2260",NA,"Vertebrates","Vertebrates","NODE_1321_length_2956_cov_127_490795_S010-136","0"
"NODE_1322_length_1110_cov_3971_122943_S006-52","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_10","SURE_ClusterID39",NA,"SURE_ClusterID1736",NA,"Vertebrates","Vertebrates","NODE_1322_length_1110_cov_3971_122943_S006-52","Rotavirus A"
"NODE_1326_length_2948_cov_1409_753048_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1326_length_2948_cov_1409_753048_S010-136","0"
"NODE_133_length_1516_cov_11_020153_S009-185","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID46",NA,"NOTSURE_ClusterID2280",NA,"Vertebrates","Vertebrates","NODE_133_length_1516_cov_11_020153_S009-185","0"
"NODE_133_length_2302_cov_14_285843_S009-244","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_133_length_2302_cov_14_285843_S009-244","Torque teno virus"
"NODE_133_length_2419_cov_40_952178_S004-178","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID8",NA,"NOTSURE_ClusterID260",NA,"Vertebrates","Vertebrates","NODE_133_length_2419_cov_40_952178_S004-178","Anelloviridae sp."
"NODE_133_length_2499_cov_50_865400_S009-182","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 1","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID26",NA,"NOTSURE_ClusterID1220",NA,"Vertebrates","Vertebrates","NODE_133_length_2499_cov_50_865400_S009-182","Torque teno midi virus 1"
"NODE_133_length_2664_cov_24_207576_S004-116","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID14",NA,"NOTSURE_ClusterID1290",NA,"Vertebrates","Vertebrates","NODE_133_length_2664_cov_24_207576_S004-116","0"
"NODE_1331_length_2945_cov_648_747908_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID50",NA,"NOTSURE_ClusterID2297",NA,"Vertebrates","Vertebrates","NODE_1331_length_2945_cov_648_747908_S010-136","0"
"NODE_1340_length_2936_cov_1759_344526_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_1340_length_2936_cov_1759_344526_S010-136","0"
"NODE_1341_length_805_cov_6_354396_S004-178","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1341_length_805_cov_6_354396_S004-178","0"
"NODE_135_length_2390_cov_20_035884_S007-99","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID10",NA,"NOTSURE_ClusterID491",NA,"Vertebrates","Vertebrates","NODE_135_length_2390_cov_20_035884_S007-99","Torque teno mini virus SHA"
"NODE_1350_length_981_cov_6_800885_S004-226","Viruses","Reoviridae","Rotavirus","Rotavirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_13","Singleton_ClusterID51",NA,"Singleton_ClusterID2375",NA,"Vertebrates","Vertebrates","NODE_1350_length_981_cov_6_800885_S004-226","Rotavirus A"
"NODE_136_length_2487_cov_15_001660_S009-182","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID26",NA,"NOTSURE_ClusterID1220",NA,"Vertebrates","Vertebrates","NODE_136_length_2487_cov_15_001660_S009-182","0"
"NODE_136_length_2606_cov_1544_429419_S004-194","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_136_length_2606_cov_1544_429419_S004-194","0"
"NODE_136_length_2683_cov_212_816577_S004-153","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID24",NA,"NOTSURE_ClusterID69",NA,"Vertebrates","Vertebrates","NODE_136_length_2683_cov_212_816577_S004-153","0"
"NODE_1361_length_2913_cov_169_196403_S010-136","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID52",NA,"Singleton_ClusterID2406",NA,"Vertebrates","Vertebrates","NODE_1361_length_2913_cov_169_196403_S010-136","0"
"NODE_1364_length_799_cov_5_749307_S004-178","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1364_length_799_cov_5_749307_S004-178","Anelloviridae sp."
"NODE_137_length_2606_cov_55_027284_S004-194","Viruses","Anelloviridae","Anelloviridae","Torque teno virus","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID13",NA,"NOTSURE_ClusterID2443",NA,"Vertebrates","Vertebrates","NODE_137_length_2606_cov_55_027284_S004-194","Torque teno virus"
"NODE_137_length_2680_cov_34_270457_S010-157","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID31",NA,"NOTSURE_ClusterID1520",NA,"Vertebrates","Vertebrates","NODE_137_length_2680_cov_34_270457_S010-157","0"
"NODE_1373_length_1119_cov_5_814779_S011-15","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID53",NA,"NOTSURE_ClusterID2455",NA,"Vertebrates","Vertebrates","NODE_1373_length_1119_cov_5_814779_S011-15","Anelloviridae sp."
"NODE_138_length_2583_cov_50_699122_S004-194","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_138_length_2583_cov_50_699122_S004-194","Anelloviridae sp."
"NODE_138_length_2668_cov_55_021999_S010-139","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_138_length_2668_cov_55_021999_S010-139","0"
"NODE_1388_length_1033_cov_6_341004_S009-141","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus ALH8","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID54",NA,"SURE_ClusterID2506",NA,"Vertebrates","Vertebrates","NODE_1388_length_1033_cov_6_341004_S009-141","Torque teno mini virus ALH8"
"NODE_139_length_2572_cov_8_224850_S004-194","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_139_length_2572_cov_8_224850_S004-194","Anelloviridae sp."
"NODE_139_length_2651_cov_9_369852_S010-157","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_139_length_2651_cov_9_369852_S010-157","0"
"NODE_1395_length_2886_cov_713_510502_S010-136","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"NOTSURE_ClusterID55",NA,"NOTSURE_ClusterID2540",NA,"Vertebrates","Vertebrates","NODE_1395_length_2886_cov_713_510502_S010-136","0"
"NODE_14_length_8598_cov_191_231076_S007-88","Viruses","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_14","SURE_ClusterID56",NA,"SURE_ClusterID2573",NA,"Vertebrates","Vertebrates","NODE_14_length_8598_cov_191_231076_S007-88","Human mastadenovirus C"
"NODE_1406_length_2874_cov_371_324276_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"NOTSURE_ClusterID2605",NA,"Vertebrates","Vertebrates","NODE_1406_length_2874_cov_371_324276_S010-136","0"
"NODE_141_length_2303_cov_24_691375_S004-178","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_141_length_2303_cov_24_691375_S004-178","Anelloviridae sp."
"NODE_141_length_2468_cov_24_021748_S009-182","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID59",NA,"Singleton_ClusterID2618",NA,"Vertebrates","Vertebrates","NODE_141_length_2468_cov_24_021748_S009-182","0"
"NODE_142_length_2095_cov_7_406838_S009-181","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID15",NA,"Singleton_ClusterID2647",NA,"Vertebrates","Vertebrates","NODE_142_length_2095_cov_7_406838_S009-181","0"
"NODE_1422_length_2854_cov_457_785020_S010-136","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID60",NA,"Singleton_ClusterID2660",NA,"Vertebrates","Vertebrates","NODE_1422_length_2854_cov_457_785020_S010-136","0"
"NODE_143_length_2520_cov_33_877609_S010-137","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID21",NA,"NOTSURE_ClusterID985",NA,"Vertebrates","Vertebrates","NODE_143_length_2520_cov_33_877609_S010-137","0"
"NODE_1433_length_985_cov_148_997797_S007-71","Viruses","Anelloviridae","Anelloviridae","Torque teno midi virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1433_length_985_cov_148_997797_S007-71","Torque teno midi virus"
"NODE_1442_length_712_cov_6_011024_S006-20","Viruses","Small circular virus","Circoviridae","0","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID32",NA,"NOTSURE_ClusterID646",NA,"Vertebrates","Mammals_Birds","NODE_1442_length_712_cov_6_011024_S006-20","0"
"NODE_1448_length_1359_cov_2_018721_S003-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID61",NA,"Singleton_ClusterID2745",NA,"Vertebrates","Vertebrates","NODE_1448_length_1359_cov_2_018721_S003-141","0"
"NODE_1448_length_2827_cov_340_547636_S010-136","Viruses","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Viruses_EukaryoticVirus",NA,"SURE_ClusterID_14","SURE_ClusterID56",NA,"SURE_ClusterID2573",NA,"Vertebrates","Vertebrates","NODE_1448_length_2827_cov_340_547636_S010-136","Human mastadenovirus C"
"NODE_145_length_5381_cov_3416_556938_S005-199","Viruses","Parvoviridae","Bocaparvovirus","Primate bocaparvovirus 1","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_16","Singleton_ClusterID62",NA,"Singleton_ClusterID2757",NA,"Vertebrates","Vertebrates","NODE_145_length_5381_cov_3416_556938_S005-199","Primate bocaparvovirus 1a"
"NODE_1451_length_2825_cov_71_535662_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID58",NA,"Singleton_ClusterID2762",NA,"Vertebrates","Vertebrates","NODE_1451_length_2825_cov_71_535662_S010-136","0"
"NODE_1452_length_2824_cov_647_538770_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID21",NA,"NOTSURE_ClusterID985",NA,"Vertebrates","Vertebrates","NODE_1452_length_2824_cov_647_538770_S010-136","0"
"NODE_1466_length_2812_cov_569_281901_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID1711",NA,"Vertebrates","Vertebrates","NODE_1466_length_2812_cov_569_281901_S010-136","0"
"NODE_1468_length_976_cov_13_024472_S009-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID63",NA,"NOTSURE_ClusterID2802",NA,"Vertebrates","Vertebrates","NODE_1468_length_976_cov_13_024472_S009-141","0"
"NODE_147_length_2510_cov_684_756268_S004-194","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_147_length_2510_cov_684_756268_S004-194","0"
"NODE_147_length_2781_cov_643_646820_S007-54","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID64",NA,"NOTSURE_ClusterID2812",NA,"Vertebrates","Vertebrates","NODE_147_length_2781_cov_643_646820_S007-54","0"
"NODE_147_length_2956_cov_41_300104_S007-71","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_147_length_2956_cov_41_300104_S007-71","0"
"NODE_1474_length_691_cov_5_757329_S009-182","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1474_length_691_cov_5_757329_S009-182","0"
"NODE_148_length_2254_cov_11_386771_S003-142","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID30",NA,"Singleton_ClusterID2840",NA,"Vertebrates","Vertebrates","NODE_148_length_2254_cov_11_386771_S003-142","0"
"NODE_148_length_2557_cov_12_357661_S010-157","Viruses","Anelloviridae","Gammatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_148_length_2557_cov_12_357661_S010-157","0"
"NODE_1486_length_1328_cov_7_056755_S003-141","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID65",NA,"NOTSURE_ClusterID2861",NA,"Vertebrates","Vertebrates","NODE_1486_length_1328_cov_7_056755_S003-141","0"
"NODE_1493_length_697_cov_7_729032_S007-118","Viruses","Anelloviridae","Betatorquevirus","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1493_length_697_cov_7_729032_S007-118","0"
"NODE_1494_length_703_cov_8_869010_S006-20","Viruses","Small circular virus","Circoviridae","Avon-Heathcote Estuary associated circular virus 15","Viruses_EukaryoticVirus",NA,"NOTSURE_ClusterID_8_contaminomics","NOTSURE_ClusterID_8_contaminomics",NA,NA,NA,"Vertebrates","Mammals_Birds","NODE_1494_length_703_cov_8_869010_S006-20","Avon-Heathcote Estuary associated circular virus 15"
"NODE_15_length_6647_cov_33_094368_S004-49","Viruses","Picornaviridae","Enterovirus","Rhinovirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_17","Singleton_ClusterID_17",NA,NA,NA,"Vertebrates","Vertebrates","NODE_15_length_6647_cov_33_094368_S004-49","Rhinovirus Aa"
"NODE_15_length_6974_cov_32_191243_S009-94","Viruses","Picornaviridae","Enterovirus","Rhinovirus A","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_15_length_6974_cov_32_191243_S009-94","Rhinovirus Ab"
"NODE_15_length_7492_cov_3187_892785_S004-122","Viruses","Picornaviridae","Enterovirus","Enterovirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_18","Singleton_ClusterID66",NA,"Singleton_ClusterID2903",NA,"Vertebrates","Vertebrates","NODE_15_length_7492_cov_3187_892785_S004-122","Enterovirus Ab"
"NODE_15_length_7609_cov_2271_958311_S006-66","Viruses","Caliciviridae","Norovirus","Norwalk virus","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_19","Singleton_ClusterID_19",NA,NA,NA,"Vertebrates","Vertebrates","NODE_15_length_7609_cov_2271_958311_S006-66","Norwalk virus a"
"NODE_150_length_1935_cov_6_842842_S011-87","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID67",NA,"Singleton_ClusterID2911",NA,"Vertebrates","Vertebrates","NODE_150_length_1935_cov_6_842842_S011-87","0"
"NODE_151_length_2461_cov_48_673238_S004-194","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 10","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID6",NA,"NOTSURE_ClusterID211",NA,"Vertebrates","Vertebrates","NODE_151_length_2461_cov_48_673238_S004-194","Torque teno midi virus 10"
"NODE_151_length_2485_cov_12_103821_S010-137","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID68",NA,"NOTSURE_ClusterID2947",NA,"Vertebrates","Vertebrates","NODE_151_length_2485_cov_12_103821_S010-137","0"
"NODE_1510_length_688_cov_10_585925_S004-194","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1510_length_688_cov_10_585925_S004-194","TTV-like mini virus"
"NODE_152_length_1449_cov_10_723761_S005-167","Viruses","Anelloviridae","Betatorquevirus","TTV-like mini virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_152_length_1449_cov_10_723761_S005-167","TTV-like mini virus"
"NODE_1526_length_2753_cov_714_588565_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1526_length_2753_cov_714_588565_S010-136","0"
"NODE_1528_length_551_cov_8_495781_S007-99","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1528_length_551_cov_8_495781_S007-99","Anelloviridae sp."
"NODE_153_length_2224_cov_10_198882_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID54",NA,"SURE_ClusterID2506",NA,"Vertebrates","Vertebrates","NODE_153_length_2224_cov_10_198882_S003-142","0"
"NODE_1565_length_2708_cov_269_538198_S010-136","Viruses","Anelloviridae","Betatorquevirus","Torque teno mini virus SHA","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1565_length_2708_cov_269_538198_S010-136","Torque teno mini virus SHA"
"NODE_157_length_2213_cov_6_665262_S003-142","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID27",NA,"NOTSURE_ClusterID1286",NA,"Vertebrates","Vertebrates","NODE_157_length_2213_cov_6_665262_S003-142","0"
"NODE_1570_length_784_cov_10_902405_S007-89","Viruses","Adenoviridae","Mastadenovirus","Human mastadenovirus C","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_20","Singleton_ClusterID69",NA,"Singleton_ClusterID3134",NA,"Vertebrates","Vertebrates","NODE_1570_length_784_cov_10_902405_S007-89","Human mastadenovirus C"
"NODE_159_length_1033_cov_4_538703_S011-79","Viruses","Anelloviridae","Gammatorquevirus","Torque teno midi virus 7","Viruses_EukaryoticVirus",NA,NA,"Singleton_ClusterID70",NA,"Singleton_ClusterID3183",NA,"Vertebrates","Vertebrates","NODE_159_length_1033_cov_4_538703_S011-79","Torque teno midi virus 7"
"NODE_159_length_2790_cov_185_413933_S007-44","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_159_length_2790_cov_185_413933_S007-44","Anelloviridae sp."
"NODE_16_length_7280_cov_321_820353_S006-66","Viruses","Picornaviridae","Parechovirus","Parechovirus A","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_21","Singleton_ClusterID71",NA,"NOTSURE_ClusterID61",NA,"Vertebrates","Vertebrates","NODE_16_length_7280_cov_321_820353_S006-66","Parechovirus Aa"
"NODE_16_length_7413_cov_291_831652_S007-131","Viruses","Picornaviridae","Enterovirus","Enterovirus B","Viruses_EukaryoticVirus",NA,"Singleton_ClusterID_22","Singleton_ClusterID72",NA,"NOTSURE_ClusterID3227",NA,"Vertebrates","Vertebrates","NODE_16_length_7413_cov_291_831652_S007-131","Enterovirus Bc"
"NODE_16_length_7540_cov_292_972397_S009-229","Viruses","Caliciviridae","Norovirus","Norwalk virus","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_16_length_7540_cov_292_972397_S009-229","Norwalk virus b"
"NODE_1624_length_1023_cov_5_126850_S009-159","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_1624_length_1023_cov_5_126850_S009-159","0"
"NODE_1625_length_2655_cov_439_645462_S010-136","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,"SURE_ClusterID12",NA,"NOTSURE_ClusterID593",NA,"Vertebrates","Vertebrates","NODE_1625_length_2655_cov_439_645462_S010-136","0"
"NODE_164_length_1040_cov_4_152648_S009-199","Viruses","Anelloviridae","Anelloviridae","0","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_164_length_1040_cov_4_152648_S009-199","0"
"NODE_164_length_1332_cov_4_219124_S009-185","Viruses","Anelloviridae","Anelloviridae","Anelloviridae sp.","Viruses_EukaryoticVirus",NA,NA,NA,NA,NA,NA,"Vertebrates","Vertebrates","NODE_164_length_1332_cov_4_219124_S009-185","Anelloviridae sp."
